name	number	position	feet	inches	pounds	month	day	year	nothing	college	nationality
Testo, David		M	5	10	165	8	7	81		UNC	USA
Valakari, Simo		M	5	10	160	4	28	73		Abroad	Finland
Boucicaut, Alexandre		M	5	6	148	11	18	81		Abroad	Haiti
Brillant, Felix		M/F	5	7	147	9	9	80		Franklin Pierce	Canada
Delgado, Alberto		F	5	9	170	3	11	78		Abroad	Cuba
Herron, Andy		F	5	9	155	3	2	78		Abroad	Costa Rica
Howey, Steve		D	6	1	170	10	26	71		Abroad	England
Kirovski, Jovan		F	6	1	175	3	18	76		High School	USA
Martinez, Rey Angel		F	6	1	160	5	13	80		Abroad	Cuba
Peguero, Jean Philippe		F	6	1	185	9	19	81		Abroad	Haiti
Szetela, Danny		M	5	11	172	6	7	87		Bradenton	USA
Brenes, Pablo		M	5	9	132	8	4	82		Abroad	Costa Rica
Cannon, G.R.		D				5	30	80		Wesley	USA
Flores, Gilberto		M	5	9	160	7	5	83		Abroad	Brazil
Gomez, Christian		M	5	8	156	11	7	74		Abroad	Argentina
Kuffour, Nana		M	5	6	155	2	27	85		Abroad	Ghana
Abrahamson, Guy	4	M	5	10	165	6	22	81			
Abukusumo, Ubusuku	2	D	6	2	170	3	24	77			USA
Adams, Jim	1	GK	6	0	185	11	16	69		Monmouth	
Adams, Kevin	2	D	5	9	170	5	20	80			Trinidad
Agogo, Junior	6	F	5	11	175	8	1	79		Abroad	Ghana
Aguilera, Roland	4	M	5	8	150	12	7	78		Abroad	Bolivia
Alberts, Jay	0		5	8	155	11	8	80		Yale	USA
Aldrich, Jeremy	2	D	6	2	195	2	26	77		Butler	USA
Allnut, Yari	6	F	5	11	165	2	17	70		Portland	USA
Allnutt, Yari	6	F	5	11	165	2	2	70		Portland	USA
Alvarado, Cesar	4	M	5	6	155	12	18	78			USA
Alvarez, Damian	6	F	5	9	155	3	11	73			Mexico
Alvarez, Daniel	4	M	5	11	165	1	18	78			
Alvarez, Leonel	4	M	5	10	168	7	29	65		Abroad	Colombia
Alvarez, Pedro	4	M	5	10	163	5	5	70		Abroad	Colombia
Amaya, Rafael	2	D	5	10	170	9	21	67			Colombia
Ammann, Mike	1	GK	6	3	200	2	8	71		Santa Clara	USA
Anderson, Kevin	4	M	5	6	155	9	7	71		Southern Connecticut St.	USA
Andracki, Bill	1	GK	5	11	175	5	25	69		Rutgers	USA
Armas, Steve	4	M	5	8	155	2	3	77		Maryland	USA
Armstrong, Desmond	2	D	6	0	175	11	2	64		Maryland	USA
Armstrong, Steven	4	M	6	1	165	7	23	76			England
Arzate, Memo	4	M	5	8	150	11	22	81		UC Santa Barbara	USA
Ashton, Chad	4	M	5	9	175	10	26	67		UNC	USA
Aunger, Geoff	2	D	5	11	170	2	4	68		Abroad	Canada
Azizi, Khodadad	6	F	5	7	155	6	22	71		Abroad	Iran
Azmi, Khalil	1	GK	6	3	190	8	23	64			Morocco
Baba, Nidal	4	M	5	11	190	8	16	72		Clemson	USA
Backman, Derek	4	M	6	0	170	1	6	66		Lynn	USA
Baicher, Jeff	6	F	5	10	160	11	16	68		Santa Clara	USA
Ball, John	4	M	5	10	160	11	5	72		Southern Connecticut St.	USA
Bankov, Kalin	2	D	6	0	185	5	12	65		Abroad	Bulgaria
Barber, Dan	4	M	5	8	160	5	17	71		UNLV	USA
Barber, Danny	4	M	5	8	160	5	17	71		UNLV	USA
Barber, Ryan	0		6	2	180	8	16	81			
Bartlett, Shaun	6	F	6	2	180	10	31	72		Abroad	South Africa
Barton, Joe	0					7	1	81			
Batelle, Shane	4	M	5	11	165	10	5	71		SLU	USA
Bates, Brian	2	D	6	1	165	9	1	71		Virginia	USA
Batista, Joao	4	M	5	10	175	12	28	66		Abroad	Brazil
Baumhoff, Billy	4	M	5	8	160	2	7	73			
Beach, Keith	4	M	5	10	160	11	26	76		Maryland	USA
Beasley, Jamar	6	F	5	10	160	10	11	79		High School	USA
Behonick, Michael	1	GK	6	2	180	1	3	81		American	USA
