name	number	position	feet	inches	pounds	month	day	year	nothing	college	nationality
Kerr, John	4	M	5	9	160	3	6	65		Duke	USA
Key, Lance	2	D	6	0	180	7	27	78		Trinity (SA)	USA
Khakpour, Mohammad	2	D	5	10	165	2	20	69		Abroad	Iran
Khakpour, Mohammed	2	D	5	10	165	2	20	69		Abroad	Iran
Khumalo, Doctor	4	M	6	1	170	6	26	67		Abroad	South Africa
Kinnear, Dominic	4	M	5	11	160	7	26	67		Hartwick	USA
Kirk, Andy	1	GK	6	0	177	10	3	77		Maryland	USA
Kirk, Joey	6	F	5	10	165	8	21	66			
Klein, Steve	4	M	6	2	180	5	11	75		Bowling Green	USA
Klinger, Fausto	2	D	5	10	172	11	4	76			Ecuador
Klinger, Martin	6	F	5	11	140	7	9	80			Ecuador
Klopas, Frank	6	F	5	9	155	1	19	66		High School	USA
Kmosko, Matt	2	D	6	1	173	1	8	72		Hartwick	USA
Knight, Kevin	2	D	6	1	175	10	22	76		James Madison	USA
Knowles, Matt	2	D	6	1	190	10	7	70		High School	USA
Koetters, Kevin	4	M	6	0	168	9	11	68		Rockhurst	USA
Kooiman, Cle	2	D	6	1	190	7	4	63		San Diego State	USA
Kosecki, Roman	4	M	5	8	165	2	15	66		Abroad	Poland
Kotschau, Richard	2	D	5	10	175	11	22	75		George Mason	USA
Kozic, Alen	4	M	6	0	170	9	27	76		FIU	Serbia
Krakowiak, Wojtek	4	M	5	6	140	8	6	76		Clemson	Poland
Krupnik, Leo	2	D				7	15	79			
Kubik, Lubos	2	D	6	3	195	1	20	64		Abroad	Czech Republic
Kuhn, Tony	6	F	6	2	185	12	15	75		Vanderbilt	USA
Kvello, Eric	6	F	6	1	165	2	12	77		Georgetown	USA
Kydes, Mickey	4	M	6	0	180	7	25	64		Long Island	USA
Lagerwey, Garth	1	GK	6	0	165	12	12	72		Duke	USA
Lagos, Manuel	4	M	6	0	165	6	11	71			USA
Lak, Peter	2	D	6	2	185	4	20	73		Cal State Fullerton	USA
Lalas, Greg	4	M	6	1	185	3	27	73		Brown	USA
Laterza, Gerardo	4	M	6	0	175	7	1	74		High School	USA
Lavin, Brian	2	D				1	3	77			
Lavrinenko, Yuri	4	M	6	0	175	6	12	77		Indiana	Ukraine
Leber, Scott	4	M				2	18	79			USA
Ledesma, Carlos	4	M	5	11	170	1	18	64			Argentina
Lee, Thor	2	D	6	0	165	6	5	65		CSU Northridge	USA
Leitch, Christopher	2	D	5	11	165	4	1	79			USA
Lembryk, Stan	4	M	5	8	160	8	8	69			
Lewis, Andrew	2	D	6	1	175	9	10	74		Princeton	USA
Lewis, Eddie	4	M	5	10	155	5	17	74		UCLA	USA
Limpar, Anders	4	M	5	8	161	9	24	65		Abroad	Sweden
Lindenmayer, Christof	6	F	5	8	140	4	21	77			
Lindenmeyer, Christof	6	F	5	8	140	4	21	77			
Liner, Tom	1	GK	6	0	183	11	27	70		CSU Chico	USA
Lips, Tom	2	D	5	11	170	6	25	68		Farleigh Dickinson	USA
Loftin, Brian	6	F	5	10	172	4	4	72		Evansville	USA
Longenecker, Brent	4	M	5	11	165	2	6	72		Rutgers	USA
Longo, Mario	4	M	5	11	168	12	3	80			USA
Lowe, Onandi	6	F	6	3	195	12	2	74		Abroad	Jamaica
Lozzano, Lawrence	2	D	6	1	185	7	25	70		High School	USA
Luiz, Joao	2	D	6	0	170	6	23	71		Abroad	Brazil
Lukin, Eric	6	F	5	11	160	6	14	79			
Lyssand, Lars	4	M				12	29	79			
Machon, Martin	4	M	5	10	160	2	4	73		Abroad	Guatemala
Mack, Ryan	4	M	5	10	160	11	13	79			USA
Maessner, John	4	M	5	10	162	6	2	69		Virginia	USA
Maliza, Johanes	4	M	5	8	160	9	10	81			USA
Manganello, Jim	4	M	5	10	165	12	8	76			
Marcoullier, Paul	1	GK	5	6	140			75.5		George Mason	USA
Marino, Pete	6	F	5	8	145	4	23	73		Brevard CC	USA
Mariscalco, Michael	4	M	5	11	170	8	27	80			USA
Marks, Seth	2	D	5	9	160	1	6	78			
Marquinho	4	M	5	10	155	11	11	66		Abroad	Brazil
Martin, Tim	2	D	5	11	165	4	12	67		Fresno State	USA
Martinez, Chris	2	D	6	2	190	12	25	70		High School	USA
Martinez, Joey	2	D	6	1	150	12	28	75		High School	USA
Martinez, Jorge	0					5	20	79			
Martinez, Saul	6	F	5	8	156	1	1	76			Honduras
Matthaus, Lothar	2	D	5	8	155	3	21	61		Abroad	Germany
Maurin, Ty	4	M	5	9	165	8	16	82		UCLA	USA
Mayard, Josue	2	D	5	10	170	3	10	80		Farleigh Dickinson	Canada
McGill, David	0		5	9	170	10	24	81			
McGinty, Mike	1	GK				8	17	71			
McGowan, Ryan	0		5	8	155	6	10	81			
McKay, Josh	4	M	6	0	175	11	16	71		San Francisco	USA
McLaren, Paulinho	6	F	5	11	170	8	28	63		Abroad	Brazil
McLaughlin, Tom	6	F	5	10	180	2	3	76		Harvard	USA
McManus, Tony	0		5	10	155	9	20	80			USA
Medved, Shawn	4	M	5	11	172	6	16	67		Evergreen State	USA
Mehreioskouei, Hamid	6	F	5	11	160	2	15	81			
Mella, Victor	6	F	5	9	152	11	14	74		UNLV	Chile
Merkel, Randy	2	D	5	10	170	3	20	76		Maryland	USA
Michallik, Janusz	4	M	5	11	170	4	22	66		Abroad	Poland
Miglioranzi, Stefani	0					9	20	77			USA
Miguez, Sergio	2	D	5	7	150	6	9	67			Argentina
Miller, Todd	4	M	6	1	180	11	29	73		Westminster	USA
Mintah, Ishmael	6	F				9	21	79			
Miranda, Edwin	2	D	6	0	170	1	28	81			
Mitchell, Jamel	4	M	6	1	195	5	26	75		Sacramento State	USA
Mohammed, Dahir	2	D	6	2	180	3	17	73		CW Post	Ethiopia
Molnar, Miklos	6	F	6	1	175	6	10	70		Abroad	Denmark
Moneme, Obi	4	M	6	0	180	3	2	75			USA
Montoya, Alberto	4	M	5	6	145	2	19	75			USA
Moore, R.T.	2	D	6	0	175	1	7	76		Maryland	USA
Morales, Jose Luis	6	F	5	9	165	8	2	73		Abroad	Spain
Moses, Matt	4	M				1	31	79			
Motajo, Manny	2	D	6	0	156	2	13	70		Howard	Nigeria
Mucino, Mike	6	F	5	10	170	4	25	77			
Mulraine, Travis	4	M	5	10	160	5	2	77		Abroad	Trinidad
Munnelly, Martin	4	M	5	11	165	11	11	69		Columbia	USA
Munoz, Albert	4	M	5	7	150	11	28	81			Venezuela
Munoz, Alberto	0					11	28	81			Venezuela
Munoz, Joe	6	F	5	10	157	3	16	76			USA
Murriagui, Andres	4	M	5	6	150	2	22	81			
Myers, Roy	4	M	6	1	172	4	13	69		Abroad	Costa Rica
Nakhid, David	4	M	6	1	180	5	15	64		American	Trinidad
Namazi, Omid	2	D	5	10	165	12	8	65			USA
Napoleon, Matt	1	GK	6	1	175	8	18	77		Columbia	USA
Narine, Adrian	6	F	5	11	149	10	30	77		Abroad	
Navarro, Roberto	0					1	31	79			
Naveda, Alberto	6	F	5	9	165	11	23	71		Abroad	Argentina
Ndiaye, Mansour	6	F				3	12	80			
Neely, Doug	0		6	0	163	5	31	65			
Neibles, Hemir	4	M				1	1	80			
Nerine, Adrian	6	F	5	11	149	10	30	77			
Neto, Adauto	0		5	10	178	12	31	80			
Ngon, Ali	6	F	5	11	200	9	4	81			Canada
											
Noamouz, Arash	4	M	6	0	170	6	6	67		Abroad	Iran
Noetzel, Johann	1	GK						77			USA
Norkus, Caleb	0					3	14	79			
Nugent, Michael	6	F	5	9	155	2	10	80		Princeton	USA
Nunley, Andre	2	D	6	0	170	5	22	74		Colorado College	USA
Nusum, John Barry	6	F				3	18	81		Furman	Bermuda
O'brien, Leighton	4	M	5	10	162	3	14	76		San Diego	USA
Occean, Olivier	6	F	6	1	180	10	23	81		Southern Connecticut St.	Canada
Okafor, Uche	2	D	6	3	190	8	8	67		Abroad	Nigeria
Okaroh, Francis	2	D	6	0	170	8	25	63		Boston University	Nigeria
Okoh, Matt	6	F	6	2	185	5	19	72		Denver	USA
Olalere, Patrick	6	F	6	2	190	4	28	71		Carson Newman	Nigeria
Olamendi, Jorge	0		5	6	141	4	30	76			
Onalfo, Curt	2	D	6	2	185	11	19	69		Virginia	Brazil
Ortiz Solis, Fernando	0					11	9	82			
Ortiz, Rene	2	D	5	9	155	4	23	69			USA
Oshoniyi, Adegboyega	1	GK	6	1	190	11	3	71		Southern Connecticut St.	USA
Otero, Antonio	4	M	5	11	170	5	20	77		American	USA
Ozimek, Erik	0		5	10	176	3	7	80			
Palacios, Arley	2	D	6	1	175	6	10	73		Abroad	Colombia
Parra, Carlos	4	M	6	0	175	2	3	77		High School	USA
Patino, David	5	M/F	5	8	150	9	6	67		Abroad	Mexico
Payne, Russell	1	GK	6	1	185	7	13	75			USA
Paz, Adrian	6	F	5	10	168	9	9	68		Abroad	Uruguay
Peart, O'neil	0					10	11	76		Virginia	
Peay, Clint	2	D	6	0	165	9	16	73		Virginia	USA
Pecorelli, Lindon	0		5	9	170	1	1	82			
Peinado, Daniel	4	M	5	10	155	9	28	67		Abroad	Argentina
Pena, Danny	4	M	6	0	165	6	17	68		High School	USA
Perry, Jason	0		6	3	185	4	11	81			
Peters, Nyanforth	6	F	5	6	160	12	6	71		Park College	USA
Petras, Doug	1	GK	6	3	205	7	29	72		Robert Morris	USA
Pickens, Matt	0		6	3	200	5	5	82		Southwest Missouri St.	USA
Piet, Jeremy	0					11	23	79			USA
Pilarski, Ian	0		5	9	165	4	6	82			USA
Pinon, Ed	4	M	5	10	155	5	26	71			USA
Piserchio, Michael	3	D/M	6	1	178	6	26	80			
Pittman, Steve	2	D	5	10	184	7	18	67		Abroad	Scotland
Podbrozny, Jerzy	4	M	5	10	170	12	17	66		Abroad	Poland
Pogue, Eric	0					12	8	76			
Polic, Ivan	4	M	6	0	160	8	13	73		SMU	Yugoslavia
Pollard, Brandon	2	D	5	11	168	10	9	73		Virginia	USA
Popik, Daniel	1	GK	6	3	200	3	23	79		St. John's	USA
Porter, Caleb	4	M	5	9	155	2	18	75		Indiana	USA
Potteiger, Derek	4	M	5	11	173	1	6	80			
											
Prampin, Alan	6	F	5	7	165	11	30	71		SMU	USA
Prince, Chad	2	D	5	11	175	7	19	79		Virginia	USA
Pulido, John	0		5	10	165	10	3	81			
Pusek, Marin	0		5	9	160	6	29	80			Canada
Puskarich, Ed	2	D	6	0	160	4	4	62		SMU	USA
Quesada, David	6	F						71		Abroad	USA
Radosavljevic, Predrag	4	M	5	9	165	6	24	63		Abroad	Serbia
Ragusa, Joseph	2	D	5	8	150	11	19	76			
Rammel, Steve	6	F	5	9	160	4	20	68		Rutgers	USA
Ramos, Mauricio	4	M	5	9	160	9	23	69		Abroad	Bolivia
Ravelli, Thomas	1	GK	6	2	185	8	13	59		Abroad	Sweden
Reasoner, Tommy	6	F	5	8	153	10	27	67		Tampa	USA
Restrepo, Andrew	2	D	6	2	175	10	8	70		South Florida	USA
Richards, Kevin	0		5	8	147	12	23	81			
Richardson, Michael	2	D				10	8				USA
Rideout, Paul	6	F	5	11	168	8	14	64		Abroad	England
Rincon, Alejandro	4	M	5	7	150	2	3	77			
Rinker, Travis	2	D	6	1	200	5	4	68		Bridgeport	USA
Ritchie, Bryn	2	D				11	28	79			
Rivillo, Angel	4	M	5	7	150	7	25	78		Creighton	Venezuela
Rizi, Marco	2	D	6	1	185	9	15	68			Canada
Rocha, Carlos	6	F	5	10	165	12	4	74		Abroad	Portugal
Rocha, Maurizio	4	M	5	9	165	8	2	76		Connecticut	Bolivia
Rodas, Jorge	4	M	5	6	160	10	7	71		Abroad	Guatemala
Rodriguez, Edmundo	4	M	5	6	205	4	22	70			
Rodriguez, Eduardo	4	M	6	4	205	4	22	70			
Rodriguez, Esmundo	6	F	5	8	140	5	25	77		Indiana	USA
Rodriguez, Felipe	4	M	5	7	160	9	12	75		high school	USA
Rodriguez, Washington	4	M	5	7	145	1	12	70		Abroad	Uruguay
Rosenband, Andy	6	F	5	7	160	4	27	81		Ohio State	USA
Rudman, Silvio	4	M	6	1	180	3	4	69		Abroad	Argentina
Russell, Robert	2	D				7	16	79		Duke	USA
Rzepa, Miroslaw	2	D	6	0	171	12	27	68		Abroad	Poland
Saavedra, Miguel	4	M				7	3	83			
Sabanadzovic, Refik	4	M	5	11	165	8	8	65		Abroad	Bosnia
Sahaydak, Tim	2	D	6	1	168	6	1	77		UNC	USA
Sakuda, Kevin	0		6	1		6	18	80			
Salas, Sergio	4	M	5	8	154	3	21	81		high school	Bolivia
Salcedo, Jorge	2	D	6	1	175	9	27	72		UCLA	USA
Salzwedel, Dave	1	GK	6	1	180	6	15	68		Cal Lutheran	USA
Sanchez, Hugo	6	F	5	8	160	7	11	58		Abroad	Mexico
Sanchez, Wellington	4	M	5	11	185	6	19	75		Abroad	Ecuador
Sanfilipo, Frank	0		5	11	185	9	8	81			
Santel, Mark	4	M	5	10	165	7	5	68		SLU	USA
Sastoque, Juan	6	F	6	2	175	6	26	77			USA
Saunders, Josh	1	GK	6	4	210	3	2	81			USA
Savarese, Giovanni	6	F	6	0	180	7	14	71		Long Island	Venezuela
Sawatzky, Darren	6	F	5	10	160	2	22	73		Portland	USA
Scavo, Peter	6	F	6	1	180	3	18	78			
Schell, Dominic	4	M	5	7	155	7	27	77		Mobile	USA
Schneider, Paul	6	F				6	24	76			USA
Schulte, Mark	2	D	6	2	205	10	4	77		Dayton	USA
Sebapole, Brian	6	F	5	8	150	10	9	75			South Africa
Semioli, Mark	2	D	6	0	175	3	20	68		Stanford	USA
Sequeira, Alejandro	6	F	5	11	183	4	27	75		Abroad	Costa Rica
Serna, Thomas	6	F	6	0	165	11	30	79			
Sharpe, Richard	6	F	6	2	180	1	15	67		FIT	England
Shue, Andrew	6	F	5	9	150	2	20	66		Dartmouth	USA
Silvera, Damian	4	M	5	8	160	7	27	74		Virginia	USA
Simmonds, Greg	6	F	6	3	190	12	16	75		Howard	Jamaica
Simpson, Mark	1	GK	6	0	175	3	18	66		Eastern Illinois	USA
Sleeth, William	2	D	5	11	170	10	23	79			USA
Slivinski, Mike	4	M	5	7	165	10	31	74		Virginia	USA
Smalls, Lawrence	2	D				3	13	80			
Smith, Rob	4	M	5	10	150	8	20	73		South Carolina	USA
Snitko, Chris	1	GK	6	3	195	1	24	73		UCLA	USA
Soehn, Tom	2	D	5	10	175	4	15	66		Western Illinois	USA
Solis, Mauricio	4	M	5	8	155	12	13	72		Abroad	Costa Rica
Sonora, Diego	2	D	5	8	165	7	17	69		Abroad	Argentina
Sorber, Mike	4	M	5	10	165	5	14	71		SLU	USA
Soto, Tony	2	D	6	0	187	10	1	76		SMU	USA
Spears, Mark	1	GK				4	30	79			
Squadrone, Leonardo	2	D	6	2	180	12	1	71		Abroad	Argentina
St. Andre, Jim	1	GK	6	1	175	2	15	68		Vermont	USA
Stafford, Ben	0					12	11	78			
Stebbins, Dan	6	F	5	10	170	11	13	69		Notre Dame	USA
Suarez, Juan Berthy	6	F	5	10	155	6	24	69		Abroad	Bolivia
Suarez, Temoc	4	M	5	7	155	4	19	75		UNC	USA
Sullivan, Christopher	4	M	5	10	165	4	18	65		Tampa	USA
Sunsing, William	6	F	5	10	165	5	12	77		Abroad	Costa Rica
Sutter, Alain	4	M	5	9	165	1	22	68		Abroad	Switzerland
Sutton, Greg	1	GK	6	6	215	4	19	77		St. Lawrence	USA
Swann, John	2	D	5	10	180	9	27	79			
Sweeney, Casey	2	D	5	9	170	1	8	74			
Swenda, Phil	6	F	5	8	165	4	22	81			
Swift, Barry	6	F	5	9	150	11	11	76		high school	USA
Takawira, Vitalis	6	F	5	9	145	9	24	72		Abroad	Zimbabwe
Tamashiro, Jerry	6	F	5	7	158	3	18	71			Peru
Tardieu, Patrick	6	F	6	0	179	6	9	68		Abroad	Haiti
Taylor, Brian	5	M/F	6	0	170	7	23	75		Fresno State	USA
Taylor, Kevin	0		6	5	180	11	4	82			
Tennyson, Mckinley	6	F	6	2	189	3	24	79			USA
Thieman, Joey	4	M	5	7	150	4	17	72			USA
Thomas, Keyeno	3	D/M	6	2	194	12	29	77		Abroad	Trinidad
Thomas, Roger	4	M	5	9	170	3	17	73		FIU	Jamaica
Thomas, Sheldon	6	F						74			
Thompson, Billy	6	F	5	6	135	5	5	68		UCLA	USA
Tinsley, Ryan	2	D	5	9	155	10	1	71		Fresno State	USA
Totten, Steve	4	M				1	7	80			
Traegger, Jake	2	D	5	11	165	4	16	80			USA
Tranchilla, Mike	6	F	5	10	165	6	9	81		Creighton	USA
Trellez, John Jairo	6	F	5	11	172	6	29	68		Abroad	Colombia
Trittschuh, Steve	2	D	6	0	170	4	24	65		Southern Illinois	USA
Trotman, Mickey	6	F	5	9	175	10	21	74		Mobile	Trinidad
Trout, Ryan	0					11	9	78			USA
Tsakiris, Shaun	4	M	5	7	155	2	16	79			
Uderitz, Scott	4	M	5	10	175	5	17	70		UNLV	USA
Ueltschey, Michael	1	GK	6	2	195	4	14	80		UNC	USA
Ukrop, Rob	6	F	6	2	185	4	5	70		Davidson	USA
Ukrop, Robert	6	F	6	2	185	4	5	70		Davidson	USA
Unger, Chris	4	M	5	9	160	3	4	68		Princeton	USA
Urbanyi, Istvan	4	M				4	17	66		Abroad	Hungary
Urbas, Hermann	4	M	6	0	165	6	18	82			Germany
Uribe, Francisco	6	F	5	11	170	1	11	66		Abroad	Mexico
Utush, Ali John	6	F				11	1	77			
Valencia, Adolfo	6	F	6	1	158	2	6	68		Abroad	Colombia
Van Saun, Jesse	6	F	5	9	160	4	20	76		St. John's	USA
Vanney, Greg	2	D	5	11	169	6	11	74		UCLA	USA
Vargas, Nelson	4	M	5	7	150	8	6	74		high school	USA
Vasquez, Jose	6	F	6	0	174	3	20	69			USA
Vasquez, Martin	2	D	6	0	178	12	24	63		Cal State Los Angeles	Mexico
Vazquez, Martin	2	D	6	0	178	12	24	63		Cal State	Mexico
Vega, Marcelo	4	M	5	9	169	8	12	71		Abroad	Chile
Velez, Marco	2	D	6	2	195	6	26	80			Puerto Rico
Vermillion, Scott	2	D	5	11	175	12	23	76		Virginia	USA
Viera, Diego	6	F	6	2	180	4	10	72		Abroad	Uruguay
Villar, Ricardo	4	M				8	11	79			
Vorbe, Sebastien	4	M	5	10	170	6	4	76		FIU	Haiti
Vuckovic, Bojan	6	F	5	11	175	7	17	70		Franklin Pierce	Serbia
Vukovic, Bojan	6	F	5	11	175	7	17	70		Franklin Pierce	Serbia
Wagenfuhr, David	0		5	9	160	6	22	82		Creighton	USA
Waldir	6	F	5	9	155	5	15	73		Abroad	Peru
Walls, Nick	6	F	5	11	165	3	31	81			USA
Waltrip, Brian	6	F	6	1	171	1	12	78			
Ward, Brandon	4	M	5	9	160	12	11	72		Indiana	USA
Watson, Mark	2	D	6	0	170	9	8	70		Abroad	Canada
Weaver, Tim	2	D	5	11	170	4	30	75		San Francisco	USA
Webber, Wade	2	D	6	3	195	1	12	67		Portland	USA
Wegerle, Roy	6	F	5	11	170	3	19	64		South Florida	USA
Weinstein, Cordt	6	F	5	6	160	3	2	72			USA
Weiszmann, Richard	2	D	6	1	171	4	8	72		UC Berkeley	USA
Welton	6	F	5	9	145	4	17	75		Abroad	Brazil
Wescott, Sterling	6	F	5	4	135	1	30	72		Fresno State	USA
Westfield, Dimelon	0		5	9	165	10	5	79			
White, Jeremiah	0		5	9	165	4	3	82		Wake Forest	USA
White, Marquis	6	F	5	7	145	3	1	69		San Francisco	USA
Wilson, Brad	4	M	5	10	160	11	19	72		Cal State Fullerton	USA
Wilson, Kirk	4	M	5	10	155	10	7	77			USA
Wilson, Mike	0		5	11	165	11	25	80			
Winner, David	1	GK	6	1	185	4	23	71		Tampa	USA
Winters, Brian	4	M	5	11	170	12	31	77			
Wise, Evans	4	M	6	0	155	1	23	73		Mercer County CC	Trinidad
Woan, Ian	4	M	5	10	163	12	14	67		Abroad	England
Wood, A.J.	6	F	6	2	195	8	17	73		Virginia	USA
Woodring, Peter	4	M	5	10	175	2	5	68		UC Berkeley	USA
Woods, Alan	2	D	6	0	170	9	12	78		Clemson	USA
Woods, Chris	1	GK	6	3	190	11	14	59		Abroad	England
Woodworth, Hayden	4	M	5	9	155	12	12	80			USA
Woolfolk, Corey	0					2	2	79			
Wright, David	2	D	6	4	185	4	8	78		Creighton	
Wright, Mauricio	2	D	6	3	175	12	20	70		Abroad	Costa Rica
Wright, Paul	6	F	5	9	180	7	29	69		high school	USA
Wylie, Kevin	4	M	6	2	200	6	12	68		?	USA
Wynalda, Eric	6	F	6	1	172	6	9	69		San Diego State	USA
Yallop, Frank	2	D	5	10	160	4	4	64		Abroad	Canada
Yorks, Lyle	4	M	6	0	165	1	30	70		Virginia	USA
Young, Paul	4	M	5	9	160	4	11	68		Syracuse	Jamaica
Zapala, Adam	0					12	28	77			
Zaun, Jeff	2	D	6	0	165	4	2	71		Rutgers	USA
Zawislan, Tom	1	GK	6	2	195	6	30	78			
Zenga, Walter	1	GK	6	2	191	4	28	60		Abroad	Italy
Zico	6	F						67		Abroad	Brazil
Ziober, Jacek	6	F	5	9	170	11	18	65		Abroad	Poland
Zuniga, Fabio	6	F	5	7	145	6	11	81		Raritan Valley CC	Colombia
Peguero, Jean-Phillipe		F	6	1	185	9	19	81		Abroad	Haiti
Belleh, Perek		M	6	1	173	1	2	82		Rhode Island	Nigeria
Besagno, Nikolas		M				11	15	88		Bradenton	USA
Guzan, Brad		GK	6	4	210	9	9	84		South Carolina	USA
Barrett, Chad		F	5	11	180	4	30	85		UCLA	USA
O'Rourke, Danny		M	6	0	165	5	31	83		Indiana	USA
Ihemelu, Ugo		D	6	0	184	4	3	83		SMU	USA
Moor, Drew		D	6	0	170	1	15	84		Indiana	USA
Freeman, Hunter		D	5	11	170	1	8	85		Virginia	USA
Roberts, Troy		D	5	10	170	9	18	83		UC Berkeley	USA
Parkhurst, Michael		D	5	10	155	1	24	84		Wake Forest	USA
Stewart, Jack		D	6	2	180	5	29	83		Notre Dame	USA
Sealy, Scott		F	5	10	175	6	4	81		Wake Forest	Trinidad
Ward, Tim		D	6	0	165	2	28	87		SLU	USA
Watson, Jamie		F				4	10	86		UNC	USA
Jimenez, Christian		M	5	10	165	11	3	86		South Florida	USA
Enfield, Mike		M	5	7	150	7	19	83		UCLA	USA
Pore, Ryan		F	5	11	165	9	23	83		Tulsa	USA
Goldthwaite, Kevin		D	6	1	175	12	9	82		Notre Dame	USA
John, Will		M	5	9	145	6	13	85		SLU	USA
Van Sicklen, Nick		M	6	1	165	2	1	83		Wisconsin	USA
Storey, Marcus		M	5	9	155	11	9	82		UNC	USA
Riley, James		D	5	10	150	10	27	82		Wake Forest	USA
Nolly, Jay		GK				1	2	82		Indiana	USA
Mediate, Domenic		M	5	9	165	6	1	82		Maryland	USA
Sawyer, Christopher		GK	6	2	190	10	20	82		Notre Dame	USA
Corcoran, Chris		M	5	9	165	3	30	83		St. John's	USA
Lopez, Aaron		D	5	11	170	2	28	83		UCLA	USA
Marshall, Winston		D	6	0	160	2	26	83		Wright State	Canada
Gomez, Chris		GK	6	2	190	8	4	83		Brown	USA
Rolfe, Chris		F	5	8	145	1	17	83		Dayton	USA
Arbelaez, Victor		M	5	11	170	8	7	82		UNLV	USA
Ramirez, Orlando		F	6	0	155	8	19	83		Fresno Pacific	USA
Klaas, C.J.		D	5	7	170	8	23	83		Washington	USA
Lochhead, Tony		D	6	0	175	1	12	82		UC Santa Barbara	New Zealand
Kirk, Quavas		F	6	1	165	4	13	88		Bradenton	USA
Segares, Gonzalo		D	5	11	162	10	13	82		Virginia	Costa Rica
Khumalo, Thabiso		M	5	10	160	10	27	80		Coastal Carolina	South Africa
Kreamalmeyer, Luke		M				9	28	82		Bradley	USA
Arias, Esteban		D	5	10	180	8	26	82		Connecticut	USA
Deitz, Karim		F	5	9	150	6	27	83		Birmingham-Southern	Germany
Nash, Julian		F	6	0	185	3	1	83		Creighton	USA
Jallow, Antou		F	6	0	165	6	11	81		Wisconsin-Milwaukee	Sweden
Twellman, James		D	5	10	165	12	24	82		Stanford	USA
Melamed, Guy		D	6	1	185	9	12	79		Boston College	Israel
Cameron, Knox		F	6	3	201	9	17	83		Michigan	USA
Lowery, Amir		M	6	2	180	12	26	83		Wake Forest	USA
Chisoni, Mubarike		M	5	8	140	5	10	81		Coastal Carolina	Zimbabwe
Minagawa-Webster, John		M	5	9	155	8	12	82		Michigan State	USA
Merritt, Tim		D				6	25	82		UNC	USA
Rhyne, Steven 		M								Clemson	USA
Barragan, Javier		GK				11	14	80		CSU Dominguez Hills	USA
Cook, Justin		F				10	28	80		Ohio State	USA
Wilson, Kevin		M				7	25	80		San Diego	USA
Rodriguez, Brett		D				4	8	83		Creighton	USA
Hernandez, Jason		D				8	26	83		Seton Hall	USA
Gotsmanov, Sasha		F				9	19	82		Rhode Island	USA
Oliver, Matt		D				11	5	81		Virginia	USA
Gaudette, Bill		GK				9	14	81		St. John's	USA
Benditson, Ben		D				2	16	83		CSU Northridge	USA
Ruiz, Edwin		F				10	19	79		Hartwick	Honduras
Nickell, Matthew		F				7	11	83		Drake	USA
											
Matute, Helmis		M				3	27	81		Virginia Commonwealth	USA
Mahoney, David		GK				4	14	81		Cornell	USA
Thompson, Abe		F				1	12	82		Maryland	USA
Holmes, Jamie		F				4	4	83		Birmingham-Southern	USA
Fulton, Robby		GK				6	2	82		Stanford	USA
McAthy, Drew		F				9	10	82		UC Santa Barbara	USA
Vasquez, Eric		M				11	18	82		Central Florida	USA
Latham, Ryan		F				11	18	82		SMU	USA
Kovar, Matt		D				2	15	83		Loyola Marymount	USA
Pitchkolan, Aaron		D				3	14	83		West Virginia	USA
Cavanagh, Drew		D				8	27	82		College of Charleston	USA
Palmer, Noah		GK				4	21	83		Maryland	USA
Munoz, Mike		M				9	14	80		UC Berkeley	USA
Karcz, Chris		M								Rutgers	
Schwarze, Chris		D								San Francisco	
Merl, Noah		D				6	4	83		UC Berkeley	USA
Hannigan, Pat		GK								Temple	
Sepuya, Eugene		F				4	1	83		Alabama A&M	Uganda
Kelly, Ryan		D				11	1	81		St. John's	USA
Wilson, Easton		M				6	10	83		Connecticut	USA
Shaw, Ryan		F				11	6	82		UC Davis	USA
Lascody, Doug		M				3	8	83		Southwest Missouri St.	USA
Terris, Andrew		GK				9	26	81		Stanford	USA
Knowles, Cameron		D				10	11	82		Akron	New Zealand
Kennedy, Dan		GK				7	22	82		UC Santa Barbara	USA
Donaldson, Hollis Ryan		D				9	1	83		Liberty	USA
Tamporello, Sammy		M/F				8	20	82		Ohio State	USA
Wondolowski, Chris		M				7	28	83		CSU Chico	USA
Vasquez, Usiel		F								Southern Connecticut St.	
Gargan, Dan		D								Georgetown	
Lee, Chris		F				12	28	82		Marquette	USA
Larentowicz, Jeff		D				8	5	83		Brown	USA
Gallegos, Jeremiah		F				9	7	81		Cincinnati	USA
Caugherty, Ryan		D				9	23	82		Wake Forest	USA
Kuykendall, Shawn		M				2	21	82		American	USA
Ramirez, Ramon		M				12	5	69		Abroad	Mexico
Cuadros, Hector						3	20	83		Abroad	Mexico
Guppy, Steve						3	29	69		Abroad	England
Boswell, Bobby						3	15	83		FIU	USA
Mendes, Carlos						12	25	80		Old Dominion	USA
Rojas, Marlon						11	11	79		Tampa	Trinidad
Umana, Michael						7	16	82		Abroad	Costa Rica
Ramirez, Guillermo						3	26	78		Abroad	Guatemala
Nagamura, Paulo						3	2	83		Abroad	Brazil
Morales, Martin						11	30	78		Abroad	Uruguay
Guerrero, Ivan						11	30	77		Abroad	Honduras
Cassio						1	8	80		Abroad	Brazil
Chinchilla, Pablo						12	21	78		Abroad	Costa Rica
Mendoza, Francisco						4	29	85		Abroad	Mexico
Nkong, Alain						4	6	79		Abroad	Cameroon
Romo, Isaac						3	23	83		Abroad	Mexico
