name	month	day	year		feet	inches	pounds	nationality
Piette, Jeremie								
Reiswerg, Matthew								
Carrasco, Javier					5	9	155	USA
Narita, Junro					5	7	160	Japan
McFarlane, Guillermo	1	18	71		6	0	189	USA
Dos Santos, Sidnei	3	5	71		5	9	164	Brazil
Estrada, Alfredo	2	4	74					
Rios, Sergio	12	31	75		5	11	170	
Juarez, Frederico	5	16	76		5	5	148	USA
Rocha-Villarroel, Maurizio	8	2	76		5	9	170	Bolivia
Millan-Guerra, Omar	10	7	76					
Correra-Luna, Omar	8	4	77					Mexico
Griego, Michael	8	24	77		5	11	187	USA
Villa-Rojas, Omar	2	12	78					
Alexander, Scott	2	27	79		5	10	175	USA
Andrade, Lourence	3	19	79		5	11	175	Brazil
Cabrera, Paul	9	18	79		5	8	168	USA
Pierce, Tim	12	8	79		5	9	162	USA
Figueroa-Jiminez, Ahmed	1	23	80		5	8	140	USA
Diaz, Jose	9	8	80		5	11	168	USA
Abarca, Jose	9	19	80		5	7	144	USA
Lomeli, Jose	1	10	81					USA
De La Torre, David	3	16	81					
Martinez, Carlos	12	23	81		5	11	151	USA
Cervantes, Enrique	1	29	82		5	9	155	USA
Mora-Gomez, Victor Omar	2	5	82		5	8	160	USA
Lopez, Sem	6	9	82					
Arreola, Victor	11	3	82		5	9	160	USA
Carrillo, Ignacio	12	25	82		5	8	156	USA
Pinedo-Irgoyen, Santiago	7	24	83					Mexico
Garcia-Ortiz, Mario	1	26	84		5	8	155	USA
Castaneda, Daniel	6	2	84					USA
Alavanja, Laz								USA
Dagnogo, Moussa	1	30	72					France
Walton, Mali	4	25	72					USA
Baah, Peter	5	1	73					England
Sweet, Jeremy	10	27	73					
Dresser, Jeff	12	30	73					USA
Pickup, Jonathan	8	24	74					England
Allen, Mark	7	16	75					USA
Dolegowski, Ari	7	28	75					USA
Samples, Jeff	1	1	76					
Costa, Rodrigo	8	30	76					
Prosser, James	1	16	77					USA
Mucino, Michael	4	25	77					Ecuador
Otero, Antonio	5	20	77					USA
Less, Vorgen	8	5	77					
Tenoff, Godfrey	3	1	78					South Africa
Rogers, Paul	5	9	78					
Lucas, Justin	5	29	78					USA
McMillian, Justin	10	17	78					USA
Quiroz-Gardona, Gerardo	1	18	79					USA
Bartram, Sean	2	19	79					
Spears, Mark	4	30	79					
Vaughn, Myron	5	15	79					
Martinez, Michael	5	20	79					
Stonehouse, Matt	7	1	79					
Swann, John	9	27	79					USA
Reiswerg, Matthew	7	3	80					
Higginbotham, Benjamin	8	5	80					
Gonzalez-Olvera, Cesar	8	9	80					
Mariscalco, Michael	8	27	80					USA
Mesanovic, Semir	1	1	81					Bosnia
Ngonyani, Mike	12	15	81					
Rollo, Andrew	6	27	83					
Stone, Jordan	3	16	84					USA
Beasley, Jam								
DiGuardi, Robert								
Lemons, Christopher								
Lynk, Josh								
Takawira, Vitalis	9	24	72		5	9	155	Zimbabwe
Ball, John	11	5	72		5	11	165	USA
Fontana, Marcelo	8	22	73		5	5	150	Argentina
Timbers, Joshua	5	27	74		5	9	170	USA
White, Pat	7	17	74		5	10	175	USA
Larkin, James	10	23	75		6	3	195	Canada
Dusosky, Todd	5	12	76		6	1	200	USA
Dusosky, Troy	5	12	76		6	1	200	USA
Delevski, Dino	8	20	76		6	0	165	Macedonia
Aldrich, Jeremy	2	26	77		6	2	195	USA
Howes, Gregory	3	26	77		6	0	185	USA
Fadeski, Dennis	10	24	77		5	10	160	
Morman, Christopher	12	19	77		6	1	185	USA
Richey, Jeff	2	6	78		6	1	180	USA
Bernal, Steve	7	3	78		5	9	160	USA
Rivillo, Angel	7	25	78					Venezuela
Maher, Anthony	3	18	79		6	0	180	USA
Hammes, Joe	5	9	79		6	1	180	USA
Schmidt, Matt	6	5	79		6	0	175	USA
Miller, James	7	16	80		5	11	175	USA
Dombrowski, Chad	8	5	80		6	1	175	USA
Lawrence, Steve	11	22	80		5	10	150	USA
Walls, Nick	3	31	81		5	11	172	USA
Ferruzzi, Marco	10	15	70		5	9	170	USA
Gramenz, Don	11	19	70		5	7	150	USA
Magee, Amos	9	7	71		5	8	145	USA
Willan, Jason	9	9	71		5	10	170	USA
Anderson, Kevin	9	7	71		5	6	155	USA
Kilickan, Zafer	2	22	73		5	9	150	Turkey
Wheaton, Greg	3	3	74		5	7	150	Brazil
Warren, Joseph	10	20	74		6	5	220	USA
Bo Daugaard, Niels	4	16	76		6	2	175	Denmark
Torres, Johnny	4	24	76		5	8	140	Colombia
Hudson, John	8	19	76		5	11	183	Canada
Schulte, Mark	10	4	77		6	3	190	USA
Eyre, Adam	1	7	78		6	1	190	USA
Shak, Steve	2	8	78		6	1	158	USA
Llamas, Hugo	9	16	78		5	9	150	Canada
Morehead, Marshall	9	17	78		6	0	180	USA
Brown, Sean	10	21	78		6	1	190	
Mark, Donald	11	29	78					
Menyongar, John	6	26	79		5	5	140	Liberia
Lynk, Josh	7	8	79					
Swenby, Bradley	9	4	79		6	6	205	USA
Richardson, Evan	9	15	79		6	0	170	USA
Vorenkamp, Christopher	11	12	80					USA
Branan, Dustin	5	21	81		6	3	190	USA
Jaqua, Nate	10	28	81		6	3	180	USA
Tarley, Duncan	10	31	83		6	1	175	Liberia
Parra, Juan Carlos								
DeSantis, Nick	9	11	67		5	11	180	Canada
Barker, Lloyd	12	12	70		5	9	175	Jamaica
Kolic, Darko	10	6	71		5	9	165	Yugoslavia
Biello, Mauro	8	8	72		5	9	155	Canada
Sebrango-Rodriguez, Eduardo	4	13	73		6	1	180	Cuba
Nash, Martin	12	27	75		5	10	160	Canada
Pizzolitto, Nevio	8	26	76		6	2	185	Canada
Gervais, Gabriel	9	18	76		6	1	175	Canada
Kopp, Andrew	1	6	77		6	0	180	USA
Sutton, Gregory	4	19	77		6	6	210	Canada
Francois, Abraham	6	7	77		5	11	195	Canada
McDonald, Larry	10	5	77					
Leduc, Patrick	12	26	77		6	0	175	Canada
Ueltschey, Michael	4	14	80		6	2	195	USA
Rowland, Mark	4	17	78		5	7	160	Canada
Roberto, Ze	9	24	78		5	7	145	Brazil
Gomes-Santana, Jose	9	24	78					Brazil
Ribeiro, Antonio	10	8	80		5	9	175	Canada
Olivieri, Andrew	3	27	81		5	11	185	Canada
Williams, Chris	6	1	81		5	10	160	Canada
Borsellino, Gaspare	6	5	81					
Ngon-Gerba, Ali	9	4	81		5	11	200	Canada
Fronimadis, David	10	13	82		5	10	170	Canada
Arango, Andres	4	23	83		6	0	175	Canada
Lemire, Chris	11	3	83		5	7	150	Canada
DiTullio, Jason	1	6	84		5	10	155	Canada
Matondo, Sita-Taty	12	28	84		5	10	150	Canada
Iribarren, Ricardo	11	2	67		6	0	175	Argentina
Dedini, Randy	1	7	70		6	1	215	USA
Evans, Justin	9	1	72		6	1	175	USA
Tripoli, Jaman	2	24	76		6	2	185	
Depalma, Gary	3	9	76		5	11	165	USA
Martins, Thiago	9	4	76		6	0	185	Brazil
Flavius, David	1	31	77		5	7	180	St. Lucia
Hannig, Thomas	9	18	77		6	3	215	
Chulis, Matthew	9	29	77		5	9	160	USA
Korol, Aleksey	10	14	77		5	10	160	Ukraine
Wright, David	4	8	78		6	4	185	USA
Green, Michael	7	16	78		6	4	190	USA
Ongao, Eric	7	17	78		6	4	155	
Woolfolk, Corey	2	2	79		5	10	165	USA
Villar, Ricardo	8	11	79		5	10	155	Brazil
Bachmeyer, Michael	11	30	79		6	6	200	
Worthen, Joey	12	3	79		6	1	175	USA
Potteiger, Derek	1	6	80		5	11	180	Canada
Sondaal, Tiest	4	5	80		6	0		Holland
Thomas, Aaron	7	21	80		5	9	155	
Glowienka, Tim	8	10	80		5	9	165	USA
Jacquette, Brent	1	16	81		5	11	163	USA
Dolinsky, Paul	1	11	83					USA
Benedetti, Scott	11	13	66					USA
Wilkinson, Gavin	11	5	73					New Zealand
Afash, Fadi	1	4	74					Syria
Wilson, Adam	5	21	75					
Sancho, Brent	3	13	77					Trinidad
Alcaraz-Cuellar, Hugo	4	6	77					Mexico
Burgman, Cole	4	20	77					USA
Winters, Brian	12	31	77					USA
Alvarez-Noriega, Byron	10	21	78					Mexico
Tennyson, McKinley	3	24	79					USA
Heinzen, Aaron	8	9	79					USA
Morrison, Lee	8	10	79					USA
Tolstolutsky, Vadim	9	24	79					
Ritchie, Bryn	11	28	79					
Downing, Nick	1	25	80					USA
Sagare, Jake	4	5	80					USA
Melendez, Jason	8	28	80					
Antoniuk, Daniel	1	23	81					USA
Youngblood, Ryan	2	13	81					USA
Saunders, Josh	3	2	81					USA
Spiteri, Curtis	3	15	81					USA
Brasil, Manuel	10	17	81					
Vaughn, Jacob								
Ukrop, Rob	4	5	70		6	2	206	USA
Brown, Christopher	8	16	71		6	1	180	USA
Stockton, Khary	9	15	71		5	10	170	USA
Lekics, Paul	3	5	74		5	9	170	USA
Fox, Chris	7	30	74		5	10	172	USA
Dotsenko, Ihor	9	29	74		6	2	180	Ukraine
Jeffrey, Kevin	10	4	74		5	11	165	Trinidad
Simmonds, Gregory	12	16	75		6	3	190	Jamaica
Williams, Tony	7	13	76		5	7	155	USA
Pascale, Ronnie	9	5	76		5	11	180	USA
Knight, Kevin	10	22	76		6	1	175	USA
Goodlett, Raymond	11	20	76		5	10	165	USA
Bobo, Matthew	1	6	77		6	1	180	USA
Burke, Michael	2	25	77		5	7	147	USA
Russell, Jason	3	18	77		5	9	170	USA
