name	month	day	year		feet	inches	pounds	nationality
Dely Valdes, Jorge	3	12	67					Panama
Martin, Tim	4	12	67					USA
Brauchle, Chris	5	24	67					
Richardson, Michael			67.5					USA
Noamouz, Arash	6	6	67					Iran
Miguez, Sergio	6	9	67					Argentina
Medved, Shawn	6	16	67					USA
Bunbury, Alex	6	16	67					Canada
Khumalo, Doctor	6	26	67					South Africa
Pittman, Steve	7	18	67					USA
Kinnear, Dominic	7	26	67					USA
Balboa, Marcelo	8	8	67					USA
Okafor, Uche	8	8	67					Nigeria
Eriksson, Jan	8	24	67					Sweden
Patino, David	9	6	67					Mexico
Amaya, Rafael	9	21	67					
Peinado, Daniel	9	28	67					Argentina
Ashton, Chad	10	26	67					USA
Reasoner, Tommy	10	27	67					USA
Dougherty, Mark	11	7	67					USA
Goulooze, Richard	11	16	67					Holland
Onstad, Pat	1	13	68					Canada
Sutter, Alain	1	22	68					Switzerland
Aunger, Geoff	2	4	68					Canada
Woodring, Peter	2	5	68					USA
Valencia, Adolfo	2	6	68					Colombia
Cienfuegos, Mauricio	2	12	68					El Salvador
St. Andre, Jim	2	15	68					USA
Calichman, Dan	2	21	68					USA
Unger, Chris	3	4	68					USA
Semioli, Mark	3	20	68					USA
Gaucho, Roberto	4	5	68					Brazil
Young, Paul	4	11	68					Jamaica
Rammel, Steve	4	20	68					USA
Agoos, Jeff	5	2	68					USA
Rinker, Travis	5	4	68					USA
Thompson, Billy	5	5	68					USA
Olivares, Percy	6	5	68					Peru
Tardieu, Patrick	6	9	68					Haiti
Wylie, Kevin	6	12	68					USA
Salzwedel, Dave	6	15	68					USA
Pena, Danny	6	17	68					USA
Lips, Tom	6	25	68					USA
Jairo Trellez, John	6	29	68					Colombia
Trellez, John Jairo	6	29	68					Colombia
Santel, Mark	7	5	68					USA
Ekeme, Samuel	7	12	68					Cameroon
Bravo, Paul	7	19	68					USA
Butler, Altimont	7	21	68					Jamaica
Butler, Freddie	7	21	68					
Cannon, Scott	7	22	68					USA
Pareja, Oscar	8	10	68					Colombia
Bowers, Sean	8	12	68					USA
Gillen, Ted	8	16	68					USA
Isaacs, Peter	8	18	68					
Gutierrez, Henry	8	28	68					USA
Rooney, Jim	9	9	68					USA
Paz, Adrian	9	9	68					Uruguay
Koetters, Kevin	9	11	68					USA
Rizi, Marco	9	15	68					Canada
McCormick, Dick	9	25	68					
Baicher, Jeff	11	16	68					USA
Huseinovic, Mirsad	11	26	68					USA
Debrito, John	12	3	68					USA
Kelderman, Kris	12	10	68					USA
de Vries, Raimo	12	21	68					
Hernandez, Luis	12	22	68					Mexico
Rzepa, Miroslaw	12	27	68					Poland
Hamlett, Denis	1	9	69					USA
Hurtado, Eduardo	1	12	69					Ecuador
Mobilio, Domenic	1	14	69					Canada
Fazlagic, Said	1	25	69					Bosnia
Ken-Kwofie, Louis	2	6	69					
Myung-Bo, Hong	2	12	69					South Korea
Khakpour, Mohammad	2	20	69					Iran
Khakpour, Mohammed	2	20	69					Iran
Meola, Tony	2	21	69					USA
Sommer, Juergen	2	27	69					USA
White, Marquis	3	1	69					USA
Rudman, Silvio	3	4	69					Argentina
Elcock, Ansil	3	17	69					Trinidad
Vasquez, Jose	3	20	69					USA
Garvey, John	3	26	69					USA
Stewart, Earnie	3	28	69					Holland
Myers, Roy	4	13	69					Costa Rica
Ortiz, Rene	4	23	69					USA
Holocher, Paul	5	24	69					USA
Maessner, John	6	2	69					USA
Wynalda, Eric	6	9	69					USA
Zavala, Carlos	6	11	69					USA
Mckinley, Ivan	6	15	69					USA
Suarez, Juan Berthy	6	24	69					Bolivia
Llamosa, Carlos	6	30	69					Colombia
Sonora, Diego	7	17	69					Argentina
Wright, Paul	7	29	69					USA
Lembryk, Stan	8	8	69					
Heaney, Aidan	8	9	69					USA
Draguicevich, Oscar	8	19	69					USA
Ramos, Mauricio	9	23	69					Bolivia
Munnelly, Martin	11	11	69					
Stebbins, Dan	11	13	69					USA
Stebbins, Dan 	11	13	69					
Adams, Jim	11	16	69					
Onalfo, Curt	11	19	69					Brazil
Vazquez, Jorge	11	28	69					Argentina
Iroha, Ben	11	29	69					Nigeria
Pineda Chacon, Alex	12	19	69					Honduras
Rodriguez, Washington	1	12	70					Uruguay
Castaneda, Jorge	1	12	70					Mexico
Castaneda, Tote	1	12	70					Mexico
Dade, Eric	1	19	70					USA
Fernandez, Jose	1	24	70					Bolivia
Brose, Dario	1	27	70					USA
Farias, Alejandro	1	28	70					Argentina
Yorks, Lyle	1	30	70					USA
Diaz Arce, Raul	2	1	70					El Salvador
Allnutt, Yari	2	2	70					USA
Wilmar Perez, John	2	2	70					Colombia
Motajo, Manny	2	13	70					Nigeria
Allnut, Yari	2	17	70					USA
Harty, Rhett	3	1	70					USA
Rodriguez, Edmundo	4	22	70					
Rodriguez, Eduardo	4	22	70					
Alvarez, Pedro	5	5	70					Colombia
Elliott, Gerell	5	11	70					USA
Gibson, Neathan	5	14	70					South Africa
Gilmar	5	16	70					Brazil
Uderitz, Scott	5	17	70					USA
Lalas, Alexi	6	1	70					USA
Williams, Richie	6	3	70					USA
Molnar, Miklos	6	10	70					Denmark
Jones, Cobi	6	16	70					USA
Chung, Mark	6	18	70					USA
George, Sam	6	29	70					USA
Conteh, Abdul Thompson	7	2	70					Sierra Leone
Morrow, Steve	7	2	70					Northern Ireland
Vuckovic, Bojan	7	17	70					Serbia
Vukovic, Bojan	7	17	70					Serbia
Lozzano, Lawrence	7	25	70					USA
Lapper, Mike	8	28	70					USA
Deering, Chad	9	2	70					USA
Burns, Mike	9	14	70					USA
Etcheverry, Marco	9	26	70					Bolivia
Williams, Mark	9	28	70					England
Knowles, Matt	10	7	70					USA
Restrepo, Andrew	10	8	70					USA
Juskowiak, Andrzej	11	3	70					Poland
Liner, Tom	11	27	70					USA
Quesada, David			71					USA
Wright, Mauricio	12	20	70					Costa Rica
Cruz, Arnold	12	22	70					Honduras
Martinez, Chris	12	25	70					USA
Dayak, Troy	1	21	71					USA
da Silva, Cristian	2	3	71					USA
Ammann, Mike	2	8	71					USA
DaSilva, Chris	2	13	71					
Moore, Joe-Max	2	23	71					USA
Tamashiro, Jerry	3	18	71					Peru
Barton, Kieran	3	28	71					USA
East, Kevin	3	29	71					USA
Zaun, Jeff	4	2	71					USA
Farrer, Richard	4	9	71					South Africa
Winner, David	4	23	71					USA
Olalere, Patrick	4	28	71					Nigeria
Crawley, Ben	5	6	71					USA
Sorber, Mike	5	14	71					USA
Barber, Dan	5	17	71					USA
Barber, Danny	5	17	71					USA
Friedel, Brad	5	18	71					USA
Feuer, Ian	5	20	71					USA
Rodriguez, Jorge	5	20	71					El Salvador
Pinon, Ed	5	26	71					USA
Imler, Erik	6	1	71					USA
Sanneh, Tony	6	1	71					USA
Graziani, Ariel	6	7	71					Argentina
Lagos, Manny	6	11	71					USA
Lagos, Manuel	6	11	71					USA
Azizi, Khodadad	6	22	71					Iran
Luiz, Joao	6	23	71					Brazil
Descombes, Eric	6	25	71		?			
Savarese, Giovanni	7	14	71					Venezuela
Adair, Chugger	8	11	71					USA
Vega, Marcelo	8	12	71					Chile
Brown, Chris (1)	8	16	71					USA
McGinty, Mike	8	17	71					USA
Bates, Brian	9	1	71					USA
Plachy, Antonin	9	1	71					
Addo, Joseph	9	12	71					Ghana
Prendergast, Orrett	9	17	71					USA
Caro-Cubellos, Marcelo	9	22	71					
Tinsley, Ryan	10	1	71					USA
Batelle, Shane	10	5	71					USA
Dugas, Martin	10	5	71					Canada
Rodas, Jorge	10	7	71					Guatemala
Causey, Jeff	10	19	71					USA
Budnick, Scott	10	28	71					USA
Oshoniyi, Adegboyega	11	3	71					USA
Oshoniyi, Bo	11	3	71					USA
Comas, Alex	11	14	71					Colombia
Powell, Darryl	11	15	71					Jamaica
McKay, Josh	11	16	71					USA
Naveda, Alberto	11	23	71					Argentina
Fernandes, Fernando	11	25	71					USA
Prampin, Alan	11	30	71					USA
Squadrone, Leonardo	12	1	71					Argentina
Ianni, Tayt	12	6	71					USA
Peters, Nyanforth	12	6	71					USA
Harte, Bill	12	20	71					USA
Huwiler, Mike	1	4	72					USA
Kmosko, Matt	1	8	72					USA
Hendrickson, Ezra	1	16	72					St. V & Gr.
Wescott, Sterling	1	30	72					USA
Barria, Victor	2	1	72					
Hesse, Ken	2	3	72					
Ibsen, Zak	2	6	72					USA
Longenecker, Brent	2	6	72					USA
Maier, Andreas	2	11	72					
Kamler, Brian	2	12	72					USA
Curcic, Sasa	2	14	72					Serbia
Weinstein, Cordt	3	2	72					USA
Henderson, Rysehiem	3	21	72					
Loftin, Brian	4	4	72					USA
Puskarich, Ed	4	4	62					USA
Benjamin, Glenn	4	4	72					
Karapetyan, Harut	4	7	72					USA
Adu-Gyamfi, Kwaku	4	7	72					Ghana
Weiszmann, Richard	4	8	72					USA
Viera, Diego	4	10	72					Uruguay
Thieman, Joey	4	17	72					USA
Hoffard, Todd	5	15	72					USA
Okoh, Matt	5	19	72					USA
Garlick, Scott	5	29	72					USA
Hahnemann, Marcus	6	15	72					USA
McBride, Brian	6	19	72					USA
McAuley, Sean	6	23	72					
Petras, Doug	7	29	72					USA
Kramer, David	8	1	72					USA
								
Glenn, Jimmy	8	9	72					USA
Baba, Nidal	8	16	72					USA
Ekelund, Ronnie	8	21	72					Denmark
Armas, Chris	8	27	72					USA
Warham, Darren	8	27	72					England
Hudock, Dusty	9	4	72					USA
Devall, Danny	9	15	72					USA
Chronopoulos, Ted	9	16	72					USA
Yeagley, Todd	9	20	72					USA
Guthrie, Rivers	9	25	72					USA
Salcedo, Jorge	9	27	72					USA
Droze, Derk	10	29	72					USA
Bartlett, Shaun	10	31	72					South Africa
Quinones, Saul	10	31	72					
Gutierrez, Diego	11	3	72					USA
Wilson, Brad	11	19	72					USA
Ward, Brandon	12	11	72					USA
Lagerwey, Garth	12	12	72					USA
Solis, Mauricio	12	13	72					Costa Rica
Clark, Mike	12	16	72					USA
Kreis, Jason	12	29	72					USA
Keegan, Paul	12	30	72					Ireland
Gori, Mario	1	6	73					Argentina
Figuerido, Tim	1	9	73					
Jones, Gabe	1	21	73					
Wise, Evans	1	23	73					Trinidad
Snitko, Chris	1	24	73					USA
Machon, Martin	2	4	73					Guatemala
Baumhoff, Billy	2	7	73					
Johnson, Rob	2	10	73					USA
Kalonji, Nansha	2	16	73					Belgium
Jean-Baptiste, Gilbert	2	19	73					Haiti
Houser, Chris	3	9	73					USA
Alvarez, Damian	3	11	73					Mexico
Damian	3	11	73					Mexico
Thomas, Roger	3	17	73					Jamaica
Mohammed, Dahir	3	17	73					Ethiopia
Lalas, Greg	3	27	73					USA
Simutenkov, Igor	4	3	73					Russia
Lak, Peter	4	20	73					USA
Marino, Pete	4	23	73					USA
Waldir	5	15	73					Peru
Lujan, Arron	5	24	73					
McCarthy, Jerome	6	4	73					
Palacios, Arley	6	10	73					Colombia
Camarena, Enrique	6	15	73					
Maisonneuve, Brian	6	28	73					USA
Cate	7	11	73					Brazil
Morales, Jose Luis	8	2	73					Spain
Rue, Eric	8	3	73					
Zambrano, Henry	8	7	73					Colombia
Greenwood, Ricci	8	8	73					USA
Polic, Ivan	8	13	73					Yugoslavia
Bucuane, Manuel	8	16	73					Mozambique
Wood, A.J.	8	17	73					USA
Smith, Rob	8	20	73					USA
Wellington, Jamie	8	22	73					
Fitzgerald, Jay	9	1	73					
Berg, Nico	9	11	73					Canada
Peay, Clint	9	16	73					USA
Serna, Diego	10	2	73					Colombia
Pollard, Brandon	10	9	73					USA
Thornton, Zach	10	10	73					USA
Jara, Guillermo	10	20	73					USA
Cozier, Mac	10	23	73					USA
Marsch, Jesse	11	8	73					USA
Dos Santos, Paulo	11	13	73					Cape Verde
Smith, Chris	11	18	73					
Jones, John	11	23	73					USA
Miller, Todd	11	29	73					USA
Thomas, Sheldon			74					
Pope, Eddie	12	24	73					USA
Sweeney, Casey	1	8	74					
Moreno, Jaime	1	19	74					Bolivia
Harris, Wolde	1	26	74					Jamaica
Frye, Adam	2	14	74					USA
Oliverio, Luigi	2	26	74					
Razov, Ante	3	2	74					USA
Johnson, Brian	3	7	74					USA
Baba, Imad	3	15	74					USA
George, Seth	3	30	74					USA
Duhaney, Mike	4	5	74					USA
Antongirolami, Giorgio	4	8	74					USA
Hetherington, Nate	4	30	74					
Joseph, Miles	5	2	74					USA
Reyes, Milton	5	2	74					Honduras
Lewis, Eddie	5	17	74					USA
Nunley, Andre	5	22	74					USA
Henning, David	5	22	74					USA
Gentile, Mike	5	24	74					USA
Hartman, Kevin	5	25	74					USA
Dawes, Chris	5	31	74					Jamaica
Elliott, Simon	6	10	74					New Zealand
Vanney, Greg	6	11	74					USA
Ralston, Steve	6	14	74					USA
Care, Danny	6	20	74					USA
Laterza, Gerardo	7	1	74					USA
Zavagnin, Kerry	7	2	74					USA
Chirinos, Alex	7	9	74					
Silvera, Damian	7	27	74					USA
Hejduk, Frankie	8	5	74					USA
Vargas, Nelson	8	6	74					USA
Grafer, Paul	8	7	74					USA
Daligcon, Nate	8	9	74					USA
Coufal, Scott	8	12	74					USA
Swords, Kyle	8	22	74					USA
Zeba, Morgan	8	24	74					Sweden
Daley, Chaka	9	4	74					Canada
Walker, Jonny	9	13	74					USA
McKeon, Matt	9	24	74					USA
Cloutier, Braeden	10	3	74					USA
Kelly, Brian	10	6	74					USA
Trotman, Mickey	10	21	74					Trinidad
Jachym, Rob	10	28	74					USA
Slivinski, Mike	10	31	74					USA
Marshall, Tyrone	11	12	74					Jamaica
Mella, Victor	11	14	74					Chile
Jahr, Chris			75					USA
Lowe, Onandi	12	2	74					Jamaica
Rocha, Carlos	12	4	74					Portugal
Jair	12	17	74					Cape Verde
Cannon, Joe	1	1	75					USA
Cerritos, Ronald	1	3	75					El Salvador
Demmin, Dwyane	1	5	75					
Golijanin, Ranko	1	18	75					Yugoslavia
Keller, Josh	2	16	75					USA
Mercik, Joe	2	17	75					
Porter, Caleb	2	18	75					USA
Montoya, Alberto	2	19	75					USA
Moneme, Obi	3	2	75					USA
Reis, Matt	3	28	75					USA
Presthus, Tom	4	5	75					USA
Welton	4	17	75					Brazil
Suarez, Temoc	4	19	75					USA
Sequeira, Alejandro	4	27	75					Costa Rica
Weaver, Tim	4	30	75					USA
Penalillo, Julio	5	22	75					
Marcoullier, Paul			75.5					USA
Ivanov, Galin	6	4	75					Bulgaria
Ihekoronye, Ezenwa	6	12	75					USA
Brown, C.J.	6	15	75					USA
Sanchez, Wellington	6	19	75					Ecuador
Dixon, Alex	6	21	75					
Karn, Phil	7	3	75					
Payne, Russell	7	13	75					USA
Taylor, Brian	7	23	75					
Waibel, Craig	8	21	75					USA
Daniv, Sergi	8	23	75					Ukraine
Russell, Ian	8	30	75					USA
Rodriguez, Felipe	9	12	75					USA
Gomez, Julian	9	17	75					USA
Rockey, Shawn	9	26	75					
Anicchero, Jason	9	27	75					
Keenan, Tom	9	30	75					
Herdsman, Steven	10	6	75					USA
Walsh, Billy	10	7	75					USA
Sebapole, Brian	10	9	75					South Africa
Corneli, Nicola	10	9	75					Canada
Giacobbone, Alessio	10	12	75					
Jordan, Matt	10	13	75					USA
Boyce, Jason	10	14	75					USA
Jolley, Steve	10	15	75					USA
Jakins, Tahj	11	11	75					USA
Henriques, Guillermo	11	13	75					
Villegas, Petter	11	15	75					USA
Dos Santos-Terra, Fabio	11	19	75					
Kotschau, Richard	11	22	75					USA
Kotschau, Ritchie	11	22	75					USA
Angelovski, Sinisa	12	7	75					
Kuhn, Tony	12	15	75					USA
Simmonds, Greg	12	16	75					Jamaica
Checcio, Ian	12	20	75					USA
Millet, Matthew	12	25	75					
Martinez, Joey	12	28	75					USA
Martinez, Saul	1	1	76					Honduras
Klein, Chris	1	4	76					USA
Butler, Michael	1	5	76					Liberia
Moore, R.T.	1	7	76					USA
Gottardi, Jefferson	1	13	76					Bolivia
Alvero, Kevin	1	14	76					
Petke, Mike	1	30	76					USA
McLaughlin, Tom	2	3	76					USA
Cullen, Leo	2	28	76					USA
Guido	3	9	76					Brazil
Munoz, Joe	3	16	76					USA
Echeverry, Gerson	3	16	76					
Bosch, Kurt	3	19	76					Canada
Merkel, Randy	3	20	76					USA
Paule, Ross	4	4	76					USA
Rhine, Bobby	4	18	76					USA
Van Saun, Jesse	4	20	76					USA
Botello, Jose	4	24	76					USA
Coye, Kevin	4	26	76					
Lewis, Darin	4	28	76					Trinidad
Olamendi, Jorge	4	30	76					
Guevara, Amado	5	2	76					Honduras
Edwards, Jake	5	11	76					England
Glasgow, Gary	5	13	76					Trinidad
Farias, Carlos	5	15	76					Chile
Phillips, Collin	5	29	76					Trinidad
Vorbe, Sebastien	6	4	76					Haiti
Broome, Paul	6	6	76					USA
Barrett, Wade	6	23	76					USA
Schneider, Paul	6	24	76					USA
Cancela, Jose	6	25	76					Uruguay
Gruffydd, Dilwyn	7	3	76					
Kraemer, Steve	7	4	76					USA
Mouw, Robert	7	12	76					
Williams, Anthony	7	13	76					
Hernandez, Daniel	7	23	76					USA
Armstrong, Stephen	7	23	76					England
Armstrong, Steven	7	23	76					England
Heaps, Jay	8	2	76					USA
Franchino, Joe	8	8	76					USA
Busch, Jon	8	18	76					USA
Prideaux, Brandon	8	18	76					USA
Cunningham, Jeff	8	21	76					Jamaica
Talley, Carey	8	26	76					USA
Soso, Igor	8	27	76					
Mastroeni, Pablo	8	29	76					USA
Lowey, Simon	9	8	76					England
Bartolomeu, Edgar	9	14	76					Angola
Ottesen, Dustin	9	17	76					USA
Stewart, Matthew	9	17	76					
Knights, Irasto	9	18	76					Trinidad
Farris, Matthew	9	20	76					USA
Lowery, Jon 	9	20	76					USA
Kozic, Alen	9	27	76					Serbia
Bonseu, Tenywa	9	28	76					Uganda
Soto, Tony	10	1	76					USA
Llamas, Jesse	10	1	76					
Peart, O'neil	10	11	76					
John, Stern	10	30	76					Trinidad
Palacios, Raul	10	30	76					Chile
Mulrooney, Richard	11	3	76					USA
Fabbro, Dario	11	3	76					Argentina
Klinger, Fausto	11	4	76					Ecuador
Swift, Barry	11	11	76					USA
Ragusa, Joseph	11	19	76					
Goodlett, Ray	11	20	76					USA
Mathis, Clint	11	25	76					USA
Beach, Keith	11	26	76					USA
Noetzel, Johann			77					USA
Manganello, Jim	12	8	76					
Pogue, Eric	12	8	76					
Clark, Jamie	12	13	76					Scotland
Vermillion, Scott	12	23	76					USA
Lavin, Brian	1	3	77					
Delgado, Cesar	1	16	77					
Zotinca, Alex	1	22	77					Romania
Wolyniec, John	1	24	77					USA
Armas, Steve	2	3	77					USA
Parra, Carlos	2	3	77					USA
Rincon, Alejandro	2	3	77					
Hansen, Richard	2	9	77					
Conrad, Jim	2	12	77					USA
Conrad, Jimmy	2	12	77					USA
Kvello, Eric	2	12	77					USA
Flores, Jorge	2	13	77					USA
Jackson, Colby	2	22	77					
Faria, Rodrigo	2	24	77					Brazil
Burke, Mike	2	25	77					USA
Wolff, Josh	2	25	77					USA
Dunseth, Brian	3	2	77					USA
Eastman, Gabe	3	7	77					USA
Bent, Jason	3	8	77					Canada
Brown, Chris (2)	3	10	77					USA
Costigan, Keith	3	11	77					
Corrales, Ramiro	3	12	77					USA
Ring, Henry	3	16	77					USA
Dominguez, Jeffrey	3	21	77					
Otto, Eric	3	22	77					USA
Abukusumo, Ubusuku	3	24	77					USA
Hall, Robert	3	26	77					
DiGiamarino, Joey	4	6	77					USA
Sutton, Greg	4	19	77					USA
Lindenmayer, Christof	4	21	77					USA
Lindenmeyer, Christof	4	21	77					USA
Mucino, Mike	4	25	77					
Mulraine, Travis	5	2	77					Trinidad
Olsen, Ben	5	3	77					USA
Pratt, Justin	5	5	77					
Conway, Jon	5	6	77					USA
Wanamaker, Chris	5	9	77					
Sunsing, William	5	12	77					Costa Rica
Dimaria, Jeff	5	15	77					USA
Rodriguez, Esmundo	5	25	77					USA
Sahaydak, Tim	6	1	77					USA
Bergeron, Dwayne	6	1	77					
Vallow, Scott	6	8	77					USA
Oughton, Duncan	6	14	77					New Zealand
Reda, Marco	6	22	77					Canada
Whitfield, Evan	6	23	77					USA
Edozien, Connally	6	26	77					Nigeria
Martinez, Antonio	7	9	77					Mexico
Perez, Orlando	7	12	77					USA
Akin, Jon	7	25	77					USA
Schell, Dominic	7	27	77					USA
Suarez, Ryan	7	28	77					USA
Bettinger, Rees	8	18	77					
Kovalenko, Dema	8	28	77					Ukraine
Chulis, Matt	8	29	77					USA
Houser, Jeff	9	4	77					
Hart, Wes	9	14	77					USA
Hannig, T.J.	9	18	77					
Miglioranzi, Stefani	9	20	77					USA
Williams, Andy	9	23	77					Jamaica
Gores, Chris	9	23	77					USA
Kirk, Andy	10	3	77					USA
McCarty, Chad	10	5	77					USA
Lisi, Mark	10	11	77					USA
Torres, Daniel	10	14	77					Costa Rica
Nelsen, Ryan	10	18	77					New Zealand
Figueroa, Vicente	10	22	77					USA
Annan, Dan	10	27	77					USA
Narine, Adrian	10	30	77					
Nerine, Adrian	10	30	77					
Carroll, John	11	14	77					
Pinto, Alexander	11	22	77					
Zapala, Adam	12	28	77					
Thomas, Keyeno	12	29	77					Trinidad
Marks, Seth	1	6	78					
Waltrip, Brian	1	12	78					
Nickocaj, Dzevat 	1	12	78					
Selolwane, Dipsy	1	27	78					Botswana
Victorine, Sasha	2	3	78					USA
Vagenas, Peter	2	6	78					USA
Denton, Eric	2	8	78					USA
Garcia, Freddy	2	8	78					Guatemala
Donohue, Keith	2	14	78					
Quill, Eric	2	28	78					USA
Scavo, Peter	3	18	78					
Dancy, Jake	4	9	78					USA
Butcher, Steve	4	15	78					USA
Bolanos, Jonathan	4	22	78					Costa Rica
Mullan, Brian	4	23	78					USA
Griffiths, Winston	5	12	78					Jamaica
De Rosario, Dwayne	5	15	78					Canada
Ching, Brian	5	24	78					USA
Joseph, Shalrie	5	24	78					Grenada
Brown, Adin	5	27	78					USA
Hemmerich, Andrew	5	27	78					
West, Brian	6	10	78					USA
Robinson, Eddie	6	19	78					USA
Bower, Scott	6	27	78					USA
Zawislan, Tom	6	30	78					
Caprez, Tim 	7	9	78					
DaGama, Luis Renato	7	11	78					
Kante, Daouda	7	16	78					Mali
Key, Lance	7	27	78					USA
Budalic, Niki	8	1	78					Canada
Vartughian, Robert	8	9	78					USA
Diallo, Mamadou	8	21	78					Senegal
Jemmott, Kerwyn	8	24	78					Trinidad
Goode, Taly	8	25	78					USA
Forko, Sam	9	2	78					Liberia
Frasier, Wade	9	19	78					
Fernandes, Narciso	9	20	78					USA
Ziadie, Craig	9	20	78					Jamaica
Beskovic, Mersim	10	16	78					USA
Hirschfeld, Lars	10	17	78					
Alvarez, Byron	10	21	78					Mexico
Casale, Mike	10	25	78					
Munthali, Rumbani	12	2	78					Canada
Lauber, Aaron	12	3	78					
Aguilera, Roland	12	7	78					Bolivia
Stafford, Ben	12	11	78					
Alvarado, Cesar	12	18	78					USA
Curtis, Ali	12	18	78					USA
O'Brien, Ronnie	1	5	79					Ireland
Rosenfeld, Matthew	1	5	79					
Avilez, Derek	1	10	79					
Albright, Chris	1	14	79					USA
Retiz, Jose	1	22	79					Mexico
Gomez, Francisco	1	25	79					USA
Moses, Matt	1	31	79					
Navarro, Roberto	1	31	79					
Coppin, Spencer	2	3	79					
Leber, Scott	2	18	79					USA
Rizo, Alberto	2	19	79					Mexico
Kish, Andrew	2	26	79					
Diop, Birahim	2	27	79					Senegal
Glinton, Gavin	3	1	79					Turks and Caicos
Howard, Tim	3	6	79					USA
Norkus, Caleb	3	14	79					USA
Popik, Dan	3	23	79					USA
Popik, Daniel	3	23	79					USA
Silva, Eduardo	3	25	79					
Leitch, Chris	4	1	79					USA
Leitch, Christopher	4	1	79					USA
Fredrick, Brian	4	4	79					
Gbandi, Chris	4	7	79					Liberia
Garcia, Nick	4	9	79					USA
Brennan, Bob	4	14	79					USA
Brennan, Bobby	4	14	79					USA
Harrell, Matt	5	2	79					
Garry, Benjamin	5	2	79					
Feller, Michael	5	9	79					
Martinez, Jorge	5	20	79					
Bocanegra, Carlos	5	25	79					USA
da Silva, Nino	5	26	79					USA
Ayim, Emmanuel	5	30	79					
Fahim, Mohammed	6	11	79					
Roberts, Zizi	6	13	79					Liberia
Lukin, Eric	6	14	79					
Rimando, Nick	6	17	79					USA
Curtin, Jim	6	23	79					USA
Moreno, Alejandro	7	8	79					Venezuela
Krupnik, Leo	7	15	79					
Russell, Robert	7	16	79					USA
Prince, Chad	7	19	79					USA
Pierce, Rusty	7	24	79					USA
Nhlecko, Toni	7	24	79					South Africa
Agogo, Junior	8	1	79					Ghana
Bevington, Kirk 	8	4	79					
Byaruhanga, Peter	8	18	79					USA
Ruiz, Carlos	9	15	79					Guatemala
Mintah, Ishmael	9	21	79					Ghana
Bernier, Patrice	9	23	79					Canada
Westfield, Dimelon	10	5	79					
Foss, Byron	10	6	79					USA
DaPra, Dominic	10	9	79					USA
Quijano, Marvin	10	10	79					USA
Sleeth, Billy	10	23	79					USA
Sleeth, William	10	23	79					USA
Mack, Ryan	11	13	79					USA
Frias, Tony	11	16	79					USA
Piet, Jeremy	11	23	79					
Serna, Thomas	11	30	79					
Walsh, Diego	12	8	79					Brazil
King, David	12	18	79					
Huet, Danny	12	19	79					
Brunt, Chris	1	1	80					USA
Neibles, Hemir	1	1	80					
Totten, Steve	1	7	80					
Ballantyne, Jamal	1	12	80					
Gibbs, Corey	1	14	80					USA
Gibbs, Cory	1	14	80					USA
Futagaki, Ryan	1	17	80					USA
Kingsley, Zach	1	18	80					USA
Semedo, Carlos	1	21	80					Portugal
Reti, Sean	1	21	80					USA
Finan, Mark 	1	29	80					
Nugent, Michael	2	10	80					USA
Nugent, Mike	2	10	80					USA
Snee, Jeremy 	2	10	80					
Twellman, Taylor	2	29	80					USA
Roner, Chris	3	4	80					USA
Biddle, Aaron	3	12	80					USA
Ndiaye, Mansour	3	12	80					
Smalls, Lawrence	3	13	80					
Califf, Danny	3	17	80					USA
Wolf, Richard	3	20	80					
Wall, James 	3	21	80					England
Geddes, Jorge	4	14	80					
Traeger, Jake	4	16	80					USA
Traegger, Jake	4	16	80					USA
Carrieri, Chris	4	28	80					USA
Frazelle, Jimmy	5	10	80					
Bagley, Chris	5	20	80					USA
Adams, Kevin	5	20	80					Trinidad
Tetirick, Jonathan 	5	31	80					
Graham, Taylor	6	3	80					USA
Stewart, Jeff	6	21	80					USA
Arnaud, Davy	6	22	80					USA
Piserchio, Michael	6	26	80					
Pusek, Marin	6	29	80					Canada
Gonzalez, Luchi	7	14	80					USA
Buete, Scott	7	23	80					USA
Noonan, Pat	8	2	80					USA
Singer, Kyle	8	6	80					USA
Matteo, Jeff	8	8	80					USA
Crawford, Matt	8	20	80					USA
Crawford, Matthew	8	20	80					USA
Radoncic, Bato	8	23	80					
Brilliant, Felix	9	9	80					Canada
Cann, Adrian	9	19	80					Canada
McManus, Tony	9	20	80					USA
Sheppard, Dustin	9	23	80					USA
Ludwig, Dennis	9	26	80					USA
Alegria, Jose	10	5	80					Peru
Blake, Alex	10	14	80					USA
Ralph, Damani	11	6	80					Jamaica
Alberts, Jay	11	8	80					USA
Wilson, Mike	11	25	80					New Zealand
Longo, Mario	12	3	80					USA
Torres, Arturo	12	11	80					USA
Leonard, Marshall	12	19	80					USA
Dunivant, Todd	12	26	80					USa
Ibrahim, Sumed	12	30	80					Ghana
Stephenson, Khari	1	18	81					Jamaica
Friend, Rob	1	23	81					Canada
Miranda, Edwin	1	28	81					El Salvador
Thomas, Shavar	1	29	81					Jamaica
Arena, Kenny	2	6	81					USA
Thompson, Scot	2	11	81					USA
Mehreioskouei, Hamid	2	15	81					USA
Martino, Kyle	2	19	81					USA
Aloisi, Chris	2	21	81					USA
Murriagui, Andres	2	22	81					USA
Wells, Zack	2	26	81					USA
